[A] device=cuda seed=42 params=411,324 train=720 val=80
[A] epoch 88/150 loss=-3.40393 center=0.5638 sparse=3.5409 val_score=1.19020 best=1.18787 centroid=1.000 falseS=0.824 recall=3.048 precision=0.182 bad=3 lr=7.55e-05 peak_mb=7356 elapsed=3352.9s
[A] epoch 89/150 loss=-3.50884 center=0.5658 sparse=3.5416 val_score=1.21370 best=1.18787 centroid=1.000 falseS=0.804 recall=3.817 precision=0.207 bad=4 lr=7.34e-05 peak_mb=7356 elapsed=3391.7s
[A] epoch 90/150 loss=-3.49225 center=0.5608 sparse=3.5245 val_score=1.20047 best=1.18787 centroid=1.000 falseS=0.814 recall=3.256 precision=0.190 bad=5 lr=7.14e-05 peak_mb=7356 elapsed=3429.4s
[A] epoch 91/150 loss=-3.53210 center=0.5557 sparse=3.4831 val_score=1.19441 best=1.18787 centroid=1.000 falseS=0.805 recall=3.525 precision=0.205 bad=6 lr=6.93e-05 peak_mb=7356 elapsed=3467.0s
[A] epoch 92/150 loss=-3.51307 center=0.5632 sparse=3.4997 val_score=1.17532 best=1.17532 centroid=1.000 falseS=0.791 recall=3.469 precision=0.216 bad=0 lr=6.73e-05 peak_mb=7356 elapsed=3504.7s
[A] epoch 93/150 loss=-3.52909 center=0.5336 sparse=3.4733 val_score=1.16912 best=1.16912 centroid=1.000 falseS=0.812 recall=3.034 precision=0.197 bad=0 lr=6.53e-05 peak_mb=7356 elapsed=3543.2s
[A] epoch 94/150 loss=-3.58513 center=0.5486 sparse=3.4453 val_score=1.16004 best=1.16004 centroid=1.000 falseS=0.811 recall=3.040 precision=0.198 bad=0 lr=6.33e-05 peak_mb=7356 elapsed=3580.9s
[A] epoch 95/150 loss=-3.55263 center=0.5564 sparse=3.4710 val_score=1.14765 best=1.14765 centroid=1.000 falseS=0.782 recall=3.222 precision=0.224 bad=0 lr=6.13e-05 peak_mb=7356 elapsed=3619.0s
[A] epoch 96/150 loss=-3.57318 center=0.5245 sparse=3.4388 val_score=1.17040 best=1.14765 centroid=1.000 falseS=0.785 recall=3.545 precision=0.227 bad=1 lr=5.94e-05 peak_mb=7356 elapsed=3657.7s
[A] epoch 97/150 loss=-3.51818 center=0.5282 sparse=3.4459 val_score=1.16680 best=1.14765 centroid=1.000 falseS=0.771 recall=3.453 precision=0.229 bad=2 lr=5.74e-05 peak_mb=7356 elapsed=3696.6s
[A] epoch 98/150 loss=-3.58133 center=0.5330 sparse=3.4003 val_score=1.16983 best=1.14765 centroid=1.000 falseS=0.777 recall=3.772 precision=0.227 bad=3 lr=5.55e-05 peak_mb=7356 elapsed=3734.6s
[A] epoch 99/150 loss=-3.57761 center=0.5330 sparse=3.3852 val_score=1.18798 best=1.14765 centroid=1.000 falseS=0.779 recall=3.518 precision=0.223 bad=4 lr=5.36e-05 peak_mb=7356 elapsed=3772.4s
[A] epoch 100/150 loss=-3.58878 center=0.5209 sparse=3.3667 val_score=1.17229 best=1.14765 centroid=1.000 falseS=0.776 recall=3.495 precision=0.232 bad=5 lr=5.17e-05 peak_mb=7356 elapsed=3810.0s
[A] epoch 101/150 loss=-3.60496 center=0.5223 sparse=3.3478 val_score=1.14404 best=1.14404 centroid=1.000 falseS=0.769 recall=3.383 precision=0.243 bad=0 lr=4.99e-05 peak_mb=7356 elapsed=3847.7s
[A] epoch 102/150 loss=-3.58456 center=0.5096 sparse=3.3377 val_score=1.15108 best=1.14404 centroid=1.000 falseS=0.775 recall=3.287 precision=0.229 bad=1 lr=4.80e-05 peak_mb=7356 elapsed=3885.6s
[A] epoch 103/150 loss=-3.64507 center=0.5275 sparse=3.3364 val_score=1.16923 best=1.14404 centroid=1.000 falseS=0.773 recall=3.422 precision=0.233 bad=2 lr=4.62e-05 peak_mb=7356 elapsed=3923.4s
[A] epoch 104/150 loss=-3.65521 center=0.5337 sparse=3.3093 val_score=1.15397 best=1.14404 centroid=1.000 falseS=0.776 recall=3.337 precision=0.236 bad=3 lr=4.44e-05 peak_mb=7356 elapsed=3961.1s
[A] epoch 105/150 loss=-3.66728 center=0.5215 sparse=3.2995 val_score=1.15024 best=1.14404 centroid=1.000 falseS=0.768 recall=3.370 precision=0.241 bad=4 lr=4.27e-05 peak_mb=7356 elapsed=3998.4s
[A] epoch 106/150 loss=-3.65106 center=0.5171 sparse=3.2972 val_score=1.15024 best=1.14404 centroid=1.000 falseS=0.780 recall=3.109 precision=0.234 bad=5 lr=4.09e-05 peak_mb=7356 elapsed=4036.3s
[A] epoch 107/150 loss=-3.67714 center=0.5184 sparse=3.2861 val_score=1.13400 best=1.13400 centroid=1.000 falseS=0.784 recall=2.944 precision=0.226 bad=0 lr=3.92e-05 peak_mb=7356 elapsed=4073.9s
[A] epoch 108/150 loss=-3.68153 center=0.5230 sparse=3.2742 val_score=1.13236 best=1.13236 centroid=1.000 falseS=0.745 recall=3.564 precision=0.270 bad=0 lr=3.76e-05 peak_mb=7356 elapsed=4111.8s
[A] epoch 109/150 loss=-3.70054 center=0.5206 sparse=3.2759 val_score=1.17028 best=1.13236 centroid=1.000 falseS=0.758 recall=3.602 precision=0.254 bad=1 lr=3.59e-05 peak_mb=7356 elapsed=4149.4s
[A] epoch 110/150 loss=-3.70050 center=0.5162 sparse=3.2206 val_score=1.14866 best=1.13236 centroid=1.000 falseS=0.769 recall=2.995 precision=0.242 bad=2 lr=3.43e-05 peak_mb=7356 elapsed=4186.8s
[A] epoch 111/150 loss=-3.69650 center=0.5139 sparse=3.2204 val_score=1.13523 best=1.13236 centroid=1.000 falseS=0.760 recall=3.101 precision=0.244 bad=3 lr=3.27e-05 peak_mb=7356 elapsed=4225.9s
[A] epoch 112/150 loss=-3.71874 center=0.5086 sparse=3.2133 val_score=1.11093 best=1.11093 centroid=1.000 falseS=0.739 recall=3.253 precision=0.267 bad=0 lr=3.11e-05 peak_mb=7356 elapsed=4264.1s
[A] epoch 113/150 loss=-3.72027 center=0.5107 sparse=3.1939 val_score=1.10301 best=1.10301 centroid=1.000 falseS=0.741 recall=3.203 precision=0.274 bad=0 lr=2.96e-05 peak_mb=7356 elapsed=4301.2s
[A] epoch 114/150 loss=-3.73107 center=0.5130 sparse=3.1809 val_score=1.12121 best=1.10301 centroid=1.000 falseS=0.761 recall=3.099 precision=0.243 bad=1 lr=2.81e-05 peak_mb=7356 elapsed=4339.9s
[A] epoch 115/150 loss=-3.73024 center=0.5044 sparse=3.1615 val_score=1.12360 best=1.10301 centroid=1.000 falseS=0.764 recall=3.064 precision=0.245 bad=2 lr=2.66e-05 peak_mb=7356 elapsed=4377.7s
[A] epoch 116/150 loss=-3.73575 center=0.5057 sparse=3.1841 val_score=1.09371 best=1.09371 centroid=1.000 falseS=0.737 recall=3.059 precision=0.278 bad=0 lr=2.52e-05 peak_mb=7356 elapsed=4414.8s
[A] epoch 117/150 loss=-3.77049 center=0.5011 sparse=3.1489 val_score=1.10004 best=1.09371 centroid=1.000 falseS=0.738 recall=3.237 precision=0.278 bad=1 lr=2.38e-05 peak_mb=7356 elapsed=4452.7s
[A] epoch 118/150 loss=-3.78133 center=0.5157 sparse=3.1424 val_score=1.10327 best=1.09371 centroid=1.000 falseS=0.716 recall=3.382 precision=0.293 bad=2 lr=2.24e-05 peak_mb=7356 elapsed=4490.5s
